"","tree_id","species_common","species_scientific","stump_diameter","height","crown_diameter","closest_address","geometry"
"140",16249598,"Japanese zelkova","Zelkova serrata",3,21.9665948097271,11.5607,"1945 AMSTERDAM AVENUE",c(-73.9422034310969, 40.8326159393573)
"141",4692784,"Green ash","Fraxinus pennsylvanica",24,69.0958033490224,40.0697272619659,"199-17 28 AVENUE",c(-73.7917973851196, 40.7722202889358)
"142",1385622,"Littleleaf linden","Tilia cordata",14,33.7870004225744,27.5552650304602,"1909 FOSTER AVENUE",c(-73.9593186774346, 40.6358766262949)
"143",4647217,"Northern red oak","Quercus rubra",15,64.7165,30.5121,"1439 E 35 STREET",c(-73.940544224809, 40.6189001575171)
"144",2607205,"Japanese flowering cherry","Prunus serrulata",5,28.5709,14.9422,"234 GARRETSON AVENUE",c(-74.0938412169783, 40.5882013686174)
"145",2934388,"Sweetgum","Liquidambar styraciflua",24,80.093,39.0839,"237 SHIRLEY AVENUE",c(-74.164298243744, 40.5327703443811)
"146",4621306,"Littleleaf linden","Tilia cordata",28,43.7220869056942,37.7104950581259,"144-15 72 DR.",c(-73.8202791451117, 40.7255689926924)
"147",3362463,"Littleleaf linden","Tilia cordata",16,35.7009459324795,29.5116201106628,"84-02 37 AVENUE",c(-73.8823781938749, 40.7495944172328)
"148",2544518,"Common hackberry","Celtis occidentalis",14,57.5787781072626,28.1734,"3539 SHORE PARKWAY",c(-73.9447181145527, 40.585204363129)
"149",2414721,"London planetree","Platanus x acerifolia",21,64.6431073461329,42.2337,"1059 EAST 85 STREET",c(-73.9065036320668, 40.6350553119781)
"150",2940673,"Red maple","Acer rubrum",9,48.06730206779,23.8016,"362 GETZ AVENUE",c(-74.1647090671715, 40.5505781250482)
"151",4694022,"Norway maple","Acer platanoides",15,46.1607542134736,32.2315,"15-17 200 STREET",c(-73.7937823447738, 40.7852860933997)
"152",1451113,"Japanese pagoda tree","Styphnolobium japonicum",10,44.5414576463285,23.4209,"23-07 30 DRIVE",c(-73.9275162772125, 40.7674834892263)
"153",13533665,"Carolina silverbell","Halesia carolina",2,20.4175,10.0671904150429,"26 ELTINGE STREET",c(-74.0954608894751, 40.6029533353718)
"154",2415928,"Purple leaf plum","Prunus cerasifera",5,28.5709,14.9422,"1121 ESSEX STREET",c(-73.8719460827222, 40.6565960460821)
"155",2595598,"Japanese zelkova","Zelkova serrata",21,65.315708422519,39.3527,"296 DEMOREST AVENUE",c(-74.1368153848126, 40.6161167694212)
"156",2496992,"American basswood","Tilia americana",17,62.0238,30.2604,"108-05 103 AVENUE",c(-73.8341034611252, 40.6853651473246)
"157",2262068,"Pin oak","Quercus palustris",10,48.2570281361861,23.8969,"1920 WALTON AVENUE",c(-73.9091764482148, 40.8499000533347)
"158",2403652,"Thornless honeylocust","Gleditsia triacanthos var. inermis",9,41.8993010198842,22.0463,"154 BEAUMONT STREET",c(-73.9512072451425, 40.5782602073245)
"159",4001899,"London planetree","Platanus x acerifolia",25,70.9247922292391,47.3593,"319 MARINE AVENUE",c(-74.0340194103891, 40.614694497166)
"160",4658307,"London planetree","Platanus x acerifolia",30,78.1474078417684,53.0013,"85-01 133 AVENUE",c(-73.8512300871376, 40.6741816384879)
"161",580376,"Callery pear","Pyrus calleryana",13,31.6564,26.3708,"2521 PALISADE AVENUE",c(-73.9219026856086, 40.8812840100947)
"162",15947798,"London planetree","Platanus x acerifolia",3,22.9622571912467,12.4365,"2056 60 STREET",c(-73.9814422394865, 40.618521529656)
"163",3767277,"London planetree","Platanus x acerifolia",29,76.7508646321871,51.9409,"115-14 173 STREET",c(-73.7760477498302, 40.689905481346)
"164",4694787,"Cornelian cherry dogwood","Cornus mas",5,22.191111331811,17.2592108863526,"54-13 71 STREET",c(-73.8931230730914, 40.7290549162254)
"165",4128286,"Littleleaf linden","Tilia cordata",13,32.7247886253034,26.4695165412332,"82-09 166 STREET",c(-73.8007498972406, 40.7195313075084)
"166",13450511,"Japanese zelkova","Zelkova serrata",3,21.9665948097271,11.5607,"235 GOLD STREET",c(-73.9831224825101, 40.697321684575)
"167",1045124,"Thornless honeylocust","Gleditsia triacanthos var. inermis",23,72.228943345129,35.0299,"200-08 39 AVENUE",c(-73.7847242246611, 40.7623042364209)
"168",1383806,"Ginkgo","Ginkgo biloba",9,44.4374,23.0498,"143 EAST 35 STREET",c(-73.9787214088435, 40.7468391403299)
"169",2549377,"Littleleaf linden","Tilia cordata",18,37.3891655174531,31.2372475877609,"2402 AVENUE T",c(-73.9477363235741, 40.6020780590412)
"170",4130564,"London planetree","Platanus x acerifolia",37,87.3695861664625,59.4721,"133-09 117 STREET",c(-73.8222537682842, 40.6723893510088)
"171",4010204,"Ash","Fraxinus",15,64.0031910797585,31.0563,"86-28 FRANCIS LEWIS BOULEVARD",c(-73.7648152645832, 40.7246785693935)
"172",4989845,"Flowering dogwood","Cornus florida",6,24.0814428561643,19.1377859186881,"81-55 192 STREET",c(-73.7767109622739, 40.7265988862699)
"173",3363387,"Swamp white oak","Quercus bicolor",3,24.3611,11.2373,"28-11 SHORE ROAD",c(-73.7536939974095, 40.7798908164499)
"174",4701803,"Alternateleaf dogwood","Cornus alternifolia",6,23.5114550599606,18.9310082693991,"1794 E 22 STREET",c(-73.950969730916, 40.6075773113431)
"175",3647774,"Northern red oak","Quercus rubra",8,43.7193,19.9652,"64-05 34 AVENUE",c(-73.8984708040934, 40.7523187942789)
"176",2408638,"White ash","Fraxinus americana",14,69.0722,30.1828,"7218 BAY PARKWAY",c(-73.9858062133248, 40.6096262754493)
"177",13369324,"Bald cypress","Taxodium distichum",3,13.8979005549141,5.60327369407681,"181-28 TUDOR ROAD",c(-73.7873919530973, 40.7227050681542)
"178",4651424,"Pin oak","Quercus palustris",10,48.2570281361861,23.8969,"1926 83 STR",c(-73.9980480173557, 40.6072940594482)
"179",14546377,"Hackberry","Celtis occidentalis",3,21.6726213433999,11.735,"81 80 STREET",c(-74.0364191310332, 40.6295348493124)
"180",2150103,"Callery pear","Pyrus calleryana",16,36.5362,31.6922,"6 JONES STREET",c(-74.0020530624906, 40.7321896027094)
"181",17146283,"Hedge maple","Acer campestre",5,31.63743442462,16.004,"1609 VICTORY BOULEVARD",c(-74.116841784121, 40.6135257612058)
"182",4686177,"Bur oak","Quercus macrocarpa",7,39.3775,18.3189,"7404 13 AVENUE",c(-74.0069305770036, 40.620768057899)
"183",11706409,"Sweetgum","Liquidambar styraciflua",2,21.8128,8.1849,"88 WHITNEY AVENUE",c(-74.0846109163796, 40.6004887721435)
"184",2941459,"Callery pear","Pyrus calleryana",8,23.5234,17.5018,"37 FLORENCE STREET",c(-74.1466053656123, 40.5439327651233)
"185",5786365,"Eastern redbud","Cercis canadensis",3,22.1455056861358,12.3539,"983 HART STREET",c(-73.9196132554397, 40.7050844978065)
"186",17079502,"Japanese flowering cherry","Prunus serrulata",3,20.5437,11.5468,"42-36 149 PLACE",c(-73.8135345424968, 40.7596454017666)
"187",3988747,"Silver linden","Tilia tomentosa",16,42.7561675594881,28.912,"136-04 222 STREET",c(-73.7486132419202, 40.6757378901057)
"188",4670146,"London planetree","Platanus x acerifolia",11,45.8300731942542,27.0397,"147-07 78 AVENUE",c(-73.815988352882, 40.7207286859687)
