level,taxon,model,B0,B1,B2,,,,,
Species,Populus tremuloides,B0 + (DBH * B1),6.7078,4.541,,,,,,
Species,Prunus avium,e^(B0 + (ln(DBH) * B1)),2.5504,0.3789,,,,,,
Species,Prunus serotina,B0 + (DBH * B1) + (DBH^2 * B2),6.447,5.5094,-0.1154,,,,,
Species,Prunus virginiana,B0 + (ln(DBH) * B1),10.9243,9.0672,,,,,,
Species,Pyrus calleryana,B0 + (DBH * B1),10.5106,1.6266,,,,,,
Species,Quercus alba,B0 + (DBH * B1) + (DBH^2 * B2),11.3288,5.2509,-0.0868,,,,,
Species,Quercus falcata,e^(B0 + (ln(DBH) * B1)),2.7638,0.4974,,,,,,
Species,Quercus nigra,B0 + (DBH * B1) + (DBH^2 * B2),13.7152,4.1217,-0.0753,,,,,
Species,Quercus palustris,e^(B0 + (ln(DBH) * B1)),2.4768,0.6079,,,,,,
Species,Quercus phellos,e^(B0 + (ln(DBH) * B1)),2.3827,0.6018,,,,,,
Species,Quercus prinus,e^(B0 + (ln(DBH) * B1)),2.6032,0.5449,,,,,,
Species,Quercus rubra,B0 + (DBH * B1) + (DBH^2 * B2),12.5945,4.3658,-0.0594,,,,,
Species,Quercus stellata,e^(B0 + (ln(DBH) * B1)),2.5234,0.5601,,,,,,
Species,Quercus velutina,B0 + (DBH * B1) + (DBH^2 * B2),9.2622,4.8707,-0.0765,,,,,
Species,Quercus virginiana,e^(B0 + (ln(DBH) * B1)),2.2789,0.4319,,,,,,
Species,Rhamnus cathartica,e^(B0 + (ln(DBH) * B1)),2.6402,0.1898,,,,,,
Species,Rhus hirta,B0 + (DBH * B1) + (DBH^2* B2),4.2632,6.9728,-0.6906,,,,,
Species,Robinia pseudoacacia,B0 + (DBH * B1) + (DBH^2 * B2),6.9592,5.7702,-0.1203,,,,,
Species,Salix nigra,e^(B0 + (ln(DBH) * B1)),2.6306,0.4739,,,,,,
Species,Salix sericea,e^(B0 + (ln(DBH) * B1)),2.6269,0.3717,,,,,,
Species,Syringa vulgaris,B0 + (ln(DBH) * B1),12.1013,5.2485,,,,,,
Species,Thuja occidentalis,B0 + (DBH * B1),5.8337,2.1101,,,,,,
Species,Tilia americana,B0 + (DBH * B1) + (DBH^2 * B2),9.8287,4.5034,-0.0843,,,,,
Species,Tilia cordata,B0 + (ln(DBH) * B1),-4.0394,14.3333,,,,,,
Species,Tsuga canadensis,B0 + (DBH * B1) + (DBH^2 * B2),1.2021,5.1368,-0.1035,,,,,
Species,Ulmus alata,e^(B0 + (ln(DBH) * B1)),2.4175,0.579,,,,,,
Species,Ulmus americana,e^(B0 + (ln(DBH) * B1)),2.5502,0.5341,,,,,,
Species,Ulmus crassifolia,B0 + (DBH * B1) + (DBH^2 * B2),7.1054,4.3431,-0.0949,,,,,
Species,Ulmus pumila,e^(B0 + (ln(DBH) * B1)),2.3164,0.6227,,,,,,
Species,Ulmus rubra,B0 + (DBH * B1) + (DBH^^2 * B^^2),8.3578,4.4572,-0.0845,,,,,
Species,Morus,e^(B0 + (ln(DBH) * B1)),2.4279,0.4837,,,,,,
Species,Ulmus,e^(B0 + (ln(DBH) * B1)),2.4772,0.5612,,,,,,
Species,Prunus,B0 + (DBH * B1) + (DBH^2 * B2),6.9939,4.8184,-0.1006,,,,,
Species,Pinus,B0 + (DBH * B1) + (DBH^2 * B2),2.4132,5.9575,-0.1103,,,,,
