storm_event_id,storm_date,storm_name,storm_event_type,storm_issues,storm_location,storm_duration
SW1749,4/15/2019 12:00 AM,High Winds Event,Winter Weather,High Winds,"Brooklyn, Manhattan, Staten Island, Queens",1 day
SW1750,5/26/2019 04:30 PM,High Winds Event,Thunderstorms,High Winds,"Staten Island, Bronx",1 day
SW1752,5/29/2019 06:31 AM,Flash/Inland Flooding Event,Thunderstorms,Flash Flooding,Queens,1 day
SW1753,6/2/2019 04:55 PM,Hail Event,Thunderstorms,"Large Hail, High Winds",Brooklyn,1 day
SW1754,6/29/2019 04:10 AM,High Winds Event,Thunderstorms,High Winds,"Manhattan, Staten Island",1 day
SW1755,7/17/2019 06:40 AM,"High Winds, Flash/Inland Flooding Event",Thunderstorms,"High Winds, Flash Flooding","Queens, Manhattan",1 day
SW1757,7/22/2019 06:33 PM,Flash/Inland Flooding Event,Thunderstorms,Flash Flooding,Queens,"5 hours, 27 minutes"
SW1758,7/30/2019 07:00 PM,Rip Current Event,Thunderstorms,Flash Flooding,Queens,1 day
SW1759,7/31/2019 12:00 AM,"High Winds, Flash/Inland Flooding Event",Thunderstorms,Flash Flooding,Staten Island,1 day
SW1760,8/7/2019 04:20 PM,"Lightning, High Winds, Flash/Inland Flooding Event",Thunderstorms,"Flash Flooding, High Winds","Staten Island, Brooklyn",1 day
SW1761,8/21/2019 04:50 AM,High Winds Event,Thunderstorms,High Winds,"Brooklyn, Manhattan",1 day
SW1762,9/2/2019 01:46 PM,High Winds Event,Thunderstorms,High Winds,Staten Island,1 day
SW1763,9/4/2019 03:10 PM,High Winds Event,Thunderstorms,High Winds,Brooklyn,1 day
SW1764,10/1/2019 03:00 PM,High Winds Event,Thunderstorms,"High Winds, Air Quality",Queens,1 day
SW1765,10/16/2019 12:00 AM,Nor'Easter,Winter Weather,"High Winds, Coastal Flooding","Queens, Staten Island, Brooklyn",1 day
SW1766,10/27/2019 07:00 AM,High Winds Event,Thunderstorms,"Coastal Flooding, High Winds","Brooklyn, Queens",1 day
